features__id,features__geometry__coordinates__001,features__geometry__coordinates__002,features__properties__name,features__properties__kinds
7982646,73.85466,18.5150471,Guruji Talim,"religion,hindu_temples,interesting_places"
1880238,73.8496552,18.5197353,,"fountains,cultural,urban_environment,interesting_places"
5686923,73.8554993,18.5137291,Tulshibaug Ram Mandir,"religion,hindu_temples,interesting_places"
5102365,73.8616943,18.5151443,Madar Chala Masjid,"religion,other_temples,interesting_places"
5167810,73.8627777,18.5162411,Dulya Maruti,"religion,hindu_temples,interesting_places"
11633156,73.8539429,18.5136967,Bank of Maharashtra,"architecture,historic_architecture,interesting_places,banks,bank,tourist_facilities,other_buildings_and_structures"
1880162,73.8536758,18.5137939,,"fortifications,historic,interesting_places,castles"
7982643,73.8491058,18.5199013,Omkareshwar Mandir,"religion,hindu_temples,interesting_places"
5686945,73.863739,18.5233192,Prakash Navajawan Mandal,"religion,hindu_temples,interesting_places"
7082315,73.8645706,18.5197773,Apollo,"cultural,cinemas,theatres_and_entertainments,interesting_places"
7982648,73.8604813,18.5138168,Someshwar Mandir,"religion,hindu_temples,interesting_places"
4982510,73.8486938,18.5219917,Balgandharva Rangmandir,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
7982645,73.8537369,18.5131264,Shani Mandir,"religion,hindu_temples,interesting_places"
7979619,73.8501816,18.5152988,Patrya Maruti,"religion,hindu_temples,interesting_places"
1880356,73.850647,18.5260715,Krushnarao Gangurde,"historic,monuments_and_memorials,interesting_places,monuments"
1880253,73.8482208,18.5225258,Rani Laxmibai,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments"
5102368,73.8612213,18.5130978,Bagban Masjid,"religion,other_temples,interesting_places"
7979930,73.8480682,18.5181217,Shri Sadguru Ramanand Bidkar Maharaj Math,"religion,hindu_temples,interesting_places"
7989638,73.8655777,18.5191116,Lakshmishwar Mandir,"religion,hindu_temples,interesting_places"
7989639,73.8499985,18.5263767,Jangli Maharaj Mandir,"religion,hindu_temples,interesting_places"
4959609,73.8488617,18.5157948,Lokmanya Tilak Museum,"cultural,museums,interesting_places,other_museums"
6814871,73.8562775,18.529211,2,"geological_formations,natural,interesting_places,caves"
5102370,73.8660355,18.5208378,Avatar Meher Baba Pune Centre,"religion,other_temples,interesting_places"
11567232,73.8568268,18.5293007,"College of Engineering, Pune","architecture,historic_architecture,interesting_places,other_buildings_and_structures"
1880261,73.853714,18.5119362,Sarvajanik Kaka,"historic,monuments_and_memorials,interesting_places,monuments"
7989637,73.8661346,18.5202274,Raste Wada Datta Mandir,"religion,hindu_temples,interesting_places"
1880355,73.8573303,18.5293941,COEP Auditorium,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
15840254,73.8478012,18.5235996,Papal Seminary,"religion,other_temples,interesting_places"
15153727,73.8478012,18.5235996,Jnana-Deepa Vidyapeeth,"religion,other_temples,interesting_places"
6814876,73.858223,18.529335,1,"geological_formations,natural,interesting_places,caves"
6814875,73.8570175,18.5294571,6,"geological_formations,natural,interesting_places,caves"
11540545,73.8500519,18.5270214,Pataleshwar,"religion,historic,hindu_temples,archaeology,interesting_places,other_archaeological_sites"
6814874,73.8566437,18.5295448,3,"geological_formations,natural,interesting_places,caves"
7979443,73.865921,18.5175686,Lakerya Maruti,"religion,hindu_temples,interesting_places"
7672470,73.8498535,18.5269318,,"religion,other_temples,interesting_places"
11564017,73.8498459,18.526947,Pataleshwar cave temple,"religion,hindu_temples,interesting_places"
6814873,73.8558884,18.5296974,4,"geological_formations,natural,interesting_places,caves"
7989634,73.8502655,18.5132694,Vishweshwar Mandir,"religion,hindu_temples,interesting_places"
6814872,73.855629,18.5297985,5,"geological_formations,natural,interesting_places,caves"
7982641,73.8477631,18.5160198,Bhajiram Mandir,"religion,hindu_temples,interesting_places"
7982640,73.8477936,18.515295,Modi Ganpati,"religion,hindu_temples,interesting_places"
11776981,73.8544388,18.510767,Raja Dinkar Kelkar Museum,"cultural,museums,interesting_places,other_museums"
9958523,73.8502655,18.5123844,Hanuman Mandir,"religion,hindu_temples,interesting_places"
5102364,73.8594437,18.5106621,,"religion,other_temples,interesting_places"
7982639,73.8465652,18.5172348,Ashtabhuja Mandir,"religion,hindu_temples,interesting_places"
7982650,73.867569,18.5195007,Untade Maruti Mandir,"religion,hindu_temples,interesting_places"
5102366,73.8673019,18.5177002,Succath Shelomo Synagogue,"religion,other_temples,interesting_places"
7979618,73.8467712,18.5158501,Mati Ganapati Mandir,"religion,hindu_temples,interesting_places"
7982644,73.8505554,18.5115852,Khunya Murlidhar Mandir,"religion,hindu_temples,interesting_places"
7082312,73.8475189,18.5141506,Limaye Natya-Chitra Mandir,"cultural,cinemas,theatres_and_entertainments,interesting_places"
11967675,73.8625107,18.5295963,Pune Metro 2,"bridges,architecture,interesting_places,other_bridges"
1880362,73.8556595,18.5311165,Mini Auditorium COEP,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
1880299,73.8683319,18.5195141,,"fountains,cultural,urban_environment,interesting_places"
14692378,73.8568497,18.5317001,Battle of Poona,"battlefields,historic,historical_places,interesting_places"
7045148,73.8452148,18.5236301,Mahatma Phule Vastu Sangrahalaya,"cultural,museums,interesting_places,other_museums"
1880263,73.8554535,18.5085812,Chinchechi Talim,"religion,hindu_temples,interesting_places"
7053605,73.8495102,18.5106659,Bharat Itihas Sanshodhak Mandal,"cultural,museums,interesting_places,other_museums"
4982509,73.8492432,18.5106449,Bharat Naatya Mandir,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
5686916,73.8456268,18.5136604,Garud Ganapati Mandir,"religion,hindu_temples,interesting_places"
7980743,73.8458557,18.5112228,Hatti Ganpati Mandir,"religion,hindu_temples,interesting_places"
1880370,73.8662949,18.5310249,English Electric Canberra,"other,unclassified_objects,interesting_places,historic_object"
7082313,73.8423386,18.5164509,R Deccan Multiplex,"cultural,cinemas,theatres_and_entertainments,interesting_places"
4982508,73.8488922,18.508234,Tilak Smarak Mandir,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
7982638,73.8427277,18.5145607,Khandujibaba Vitthal Mandir,"religion,hindu_temples,interesting_places"
1880192,73.845871,18.5099258,Navi Peth Vitthal Mandir,"religion,hindu_temples,interesting_places"
1880218,73.8435822,18.5125866,Vitthal Mandir,"religion,hindu_temples,interesting_places"
7082316,73.8464584,18.531601,Rahul Cineplex,"cultural,cinemas,theatres_and_entertainments,interesting_places"
11191182,73.8448029,18.5107555,Kusumbai Motichand Planetarium,"planetariums,cultural,museums,interesting_places"
5102358,73.8422775,18.514164,,"religion,other_temples,interesting_places"
5686932,73.8414459,18.5245399,Tukaram Paduka Mandir,"religion,hindu_temples,interesting_places"
4990800,73.8433304,18.5122128,Alka Talkies,"cultural,cinemas,theatres_and_entertainments,interesting_places"
1880239,73.8626328,18.5063744,Farog E Nabavi Masjid,"religion,other_temples,interesting_places"
7894317,73.8728714,18.5206051,St. Mathew's Marathi Church,"religion,churches,interesting_places,other_churches"
7356481,73.853569,18.5053539,Vasantdada Patil,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments"
