,features__id,features__geometry__coordinates__001,features__geometry__coordinates__002,features__properties__name,features__properties__kinds
312,1879700,73.8153763,18.5675774,aundh smashan bhoomi,"cemeteries,historic,burial_places,interesting_places"
313,7087217,73.8197327,18.468256,Fun Time Multiplex,"cultural,cinemas,theatres_and_entertainments,interesting_places"
314,7082304,73.8070068,18.5620823,Cinepolis West End Mall,"cultural,cinemas,theatres_and_entertainments,interesting_places"
315,1880567,73.9183121,18.5474491,Bramha Suncity Fountain.,"fountains,cultural,urban_environment,interesting_places"
316,11316925,73.8590164,18.4544029,Rajiv Gandhi Zoological Park And Research,"urban_environment,gardens_and_parks,cultural,museums,interesting_places,zoos"
317,1880123,73.8896179,18.4621201,Sai Baba Mandir,"religion,hindu_temples,interesting_places"
318,1879298,73.8110046,18.4703426,Universal,"religion,other_temples,interesting_places"
319,1880121,73.8902054,18.4622536,Maulana Yonus Masjid,"religion,other_temples,interesting_places"
320,1880118,73.8903275,18.462307,Moulana Younus Masjid,"religion,other_temples,interesting_places"
321,1879402,73.7879944,18.5068016,Vedacharya Ghaisas Guruji Ved Path Shala and Ganesh Temple,"religion,hindu_temples,interesting_places"
322,1879497,73.7897339,18.5416832,Sri Balaji Temple,"religion,hindu_temples,interesting_places"
323,5102347,73.7875824,18.5365639,Ahele-Sunnat-wal-Jamat Masjid,"religion,other_temples,interesting_places"
324,11339593,73.8612289,18.4529972,Rajiv Gandhi Snake Park,"urban_environment,gardens_and_parks,cultural,museums,interesting_places,zoos"
325,15265490,73.8611755,18.4529057,Peshwe Park,"gardens_and_parks,cultural,urban_environment,interesting_places"
326,4990797,73.8165283,18.4629498,Abhiruchi City Pride,"cultural,cinemas,theatres_and_entertainments,interesting_places"
327,7979929,73.7897415,18.5490398,Athashri Temple,"religion,hindu_temples,interesting_places"
328,5686997,73.925827,18.5476341,Ayyappa Temple,"religion,hindu_temples,interesting_places"
329,1880556,73.8864822,18.5862217,Kailasdham Temple,"religion,hindu_temples,interesting_places"
330,1880044,73.8780518,18.4515076,Shatrunjay Temple,"religion,hindu_temples,interesting_places"
331,1879614,73.7855072,18.5454769,Shri Swami Samarth Temple,"religion,hindu_temples,interesting_places"
332,7989641,73.8881378,18.5863876,Ayyappa Temple,"religion,hindu_temples,interesting_places"
333,7989642,73.887825,18.5866642,Ganpati Temple,"religion,hindu_temples,interesting_places"
334,6793257,73.786438,18.5493279,Baner Hill,"mountain_peaks,geological_formations,natural,interesting_places"
336,7989643,73.8887024,18.5868721,Ganesh Mandir,"religion,hindu_temples,interesting_places"
338,5686747,73.7803421,18.5325241,Temple,"religion,hindu_temples,interesting_places"
340,5686868,73.8532944,18.4469242,Jain Temple,"religion,other_temples,interesting_places"
342,7989624,73.7886581,18.5586414,Tukai Mata Mandir,"religion,hindu_temples,interesting_places"
343,5102373,73.932663,18.4993496,Kalbhairavnath  temple,"religion,other_temples,interesting_places"
344,1880031,73.8330536,18.4486103,Shri Mandhar Devi Kalubai Mandir,"religion,hindu_temples,interesting_places"
345,1880577,73.9183578,18.5677776,Vimannagar Ganesh Temple,"religion,hindu_temples,interesting_places"
346,7979616,73.8807144,18.4479103,ISKCON NVCC Temple,"religion,hindu_temples,interesting_places"
347,5686870,73.8288422,18.4487934,Bhairavnath Mandir,"religion,hindu_temples,interesting_places"
348,7989625,73.7871475,18.5588875,Baneshwar Temple,"religion,hindu_temples,interesting_places"
349,5686973,73.9320068,18.4908543,Ganpati Mandir,"religion,hindu_temples,interesting_places"
350,6604086,73.7772293,18.5386982,Sutarwadi Hill,"mountain_peaks,geological_formations,natural,interesting_places"
351,6604087,73.7804413,18.5484982,Pashan Hill,"mountain_peaks,geological_formations,natural,interesting_places"
352,1879801,73.8219223,18.5916996,Ganpati Mandir,"religion,hindu_temples,interesting_places"
353,1880480,73.921402,18.4699955,Ganesh Temple,"religion,hindu_temples,interesting_places"
354,1879704,73.7921219,18.5713863,Hanuman Mandir,"religion,hindu_temples,interesting_places"
355,1879703,73.7918167,18.5713501,Bhairavnath Temple,"religion,hindu_temples,interesting_places"
356,7982630,73.7905731,18.5708027,Kalikadevi Mandir,"religion,hindu_temples,interesting_places"
357,11312455,73.8174057,18.5921059,Pimple Gurav Dinosaur Park,"gardens_and_parks,cultural,urban_environment,interesting_places,amusements,amusement_parks"
358,1880504,73.9421158,18.5306149,Mudhava Road,"religion,other_temples,interesting_places"
359,1879370,73.7740402,18.544239,Buddha Statue,"historic,monuments_and_memorials,interesting_places,monuments"
360,5686746,73.7739182,18.544199,Dhammankur Mahavihar,"religion,buddhist_temples,interesting_places"
361,7978454,73.9343109,18.4830608,Om Shivdutta Ganga Village Mandir,"religion,hindu_temples,interesting_places"
362,5686785,73.7823563,18.5647678,Shri Ganeshdatta Mandir,"religion,hindu_temples,interesting_places"
363,7989640,73.9395142,18.4853516,Shri Mahadev Mandir,"religion,hindu_temples,interesting_places"
364,5686795,73.7813034,18.5693893,Shri Suryamukhi Dattamandir,"religion,hindu_temples,interesting_places"
365,9958530,73.9413528,18.4852772,Sai Mandir,"religion,hindu_temples,interesting_places"
366,5686833,73.8024445,18.5924721,Sai Baba Temple,"religion,other_temples,interesting_places"
367,1880048,73.8955841,18.4395618,Yeolewadi येवले वाडी,"other,unclassified_objects,interesting_places,tourist_object"
368,1879588,73.7807083,18.5735779,Laxmi Mata Mandir,"religion,hindu_temples,interesting_places"
372,7359310,73.7865067,18.459425,Tanaji Malusare Putla,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments"
373,5686724,73.799942,18.4466934,Ganesh Temple,"religion,hindu_temples,interesting_places"
374,9958531,73.9460754,18.4861813,Shri Hanuman Seva Trust,"religion,hindu_temples,interesting_places"
376,9958532,73.9470215,18.4875622,Tukai Temple,"religion,hindu_temples,interesting_places"
378,5686835,73.7939072,18.5935135,Duttraj Mandir,"religion,hindu_temples,interesting_places"
379,7982628,73.7830582,18.5857067,Shri sai temple,"religion,hindu_temples,interesting_places"
380,1879552,73.7625885,18.5555573,Bella Casa Fountain,"fountains,cultural,urban_environment,interesting_places"
381,7989626,73.7842484,18.5880985,Maruti Mandir,"religion,hindu_temples,interesting_places"
382,6604085,73.7562637,18.5356369,Pointy Hill,"mountain_peaks,geological_formations,natural,interesting_places"
383,7836087,73.7836533,18.5875473,Ganpati Temple,"religion,hindu_temples,interesting_places"
387,15005048,73.8729019,18.6161003,église Notre-Dame-de-l'Immaculée-Conception de Pune,"religion,churches,interesting_places,other_churches"
388,1879554,73.7611389,18.5557842,Ganapati Mandir,"religion,hindu_temples,interesting_places"
389,9958499,73.7993469,18.6021767,Shiv Mandir,"religion,other_temples,interesting_places"
390,5686800,73.7814941,18.5886154,Dakshinmukhi Maruti Mandir,"religion,hindu_temples,interesting_places"
395,5167798,73.7543259,18.5534,Hanuman Temple,"religion,hindu_temples,interesting_places"
396,11816618,73.7543259,18.5536118,Bhairavnath Temple,"religion,hindu_temples,interesting_places"
397,11375902,73.8511124,18.6261539,Ankushrao Landge Natyagruha,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
400,1879286,73.759079,18.4610653,Ashoka Pillar,"historic,monuments_and_memorials,interesting_places,monuments"
402,5686789,73.7601547,18.5886879,Mhatoba Mandir,"religion,other_temples,interesting_places"
403,1880045,73.9055862,18.4153996,Bhopdeo Ghat Viewpoint,"view_points,other,interesting_places"
404,5686834,73.8031235,18.6239223,Our Lady Consoler of the Afflicted Church,"religion,other_temples,interesting_places"
405,1879772,73.7830887,18.6127796,Hanuman & Shani Mandir,"religion,hindu_temples,interesting_places"
406,5686821,73.7639313,18.5961838,Datta Temple,"religion,hindu_temples,interesting_places"
407,1879285,73.7358627,18.4980087,Manas Resort,"other,unclassified_objects,interesting_places,tourist_object"
408,7082307,73.804245,18.626236,Vishal E-Square,"cultural,cinemas,theatres_and_entertainments,interesting_places"
409,1879748,73.7826691,18.6194572,Oam Ganesh Temple,"religion,hindu_temples,interesting_places"
410,7082309,73.8005066,18.6334915,PVR,"cultural,cinemas,theatres_and_entertainments,interesting_places"
411,16147150,73.9418793,18.6161232,Chhatrapati Shivaji Maharaj Museum of Indian History,"museums,cultural,interesting_places,other_museums"
413,4990796,73.7674484,18.425024,Open theatre Sarang,"cultural,cinemas,theatres_and_entertainments,interesting_places"
414,7082305,73.7446671,18.5920734,E-Square Xion,"cultural,cinemas,theatres_and_entertainments,interesting_places"
417,7082306,73.7843704,18.6290569,INOX,"cultural,cinemas,theatres_and_entertainments,interesting_places"
419,7082310,73.7961731,18.6356297,Carnival Cinemas,"cultural,cinemas,theatres_and_entertainments,interesting_places"
424,1879237,73.7751694,18.4167137,Wildernest Country Homes,"other,unclassified_objects,interesting_places,tourist_object"
425,5167799,73.7783737,18.6263809,Morya Gosavi Temple,"religion,hindu_temples,interesting_places"
427,1879805,73.7878571,18.6324825,Fountain in Park,"fountains,cultural,urban_environment,interesting_places"
428,1879227,73.7505264,18.4374065,Peacock bay,"other,unclassified_objects,interesting_places,tourist_object"
429,1879712,73.7406158,18.5912323,Ganesh Temple,"religion,hindu_temples,interesting_places"
430,4990803,73.8391418,18.6503448,Carnival Cinemas,"cultural,cinemas,theatres_and_entertainments,interesting_places"
431,1880049,73.9525528,18.4142361,Kanifnath Mandir,"religion,hindu_temples,interesting_places"
433,1879989,73.8052902,18.6578636,Shri Gurudev Datta Mandir,"religion,hindu_temples,interesting_places"
434,1879994,73.8065262,18.6586895,Vittal Mandir,"religion,hindu_temples,interesting_places"
435,1879954,73.765831,18.6385956,Chintamani Ganesh Temple,"religion,other_temples,interesting_places"
436,9958513,73.7901077,18.6525936,Link Composites,"other,unclassified_objects,interesting_places,tourist_object"
437,1879981,73.7854614,18.650671,Khandoba Mandir,"religion,hindu_temples,interesting_places"
438,5686860,73.8058472,18.6591053,Shiv Shambhu,"religion,hindu_temples,interesting_places"
439,7989632,73.8088455,18.6606674,Saraswati Mandir,"religion,hindu_temples,interesting_places"
440,1879958,73.7834854,18.6504841,Shitaladevi Aai Mandir,"religion,hindu_temples,interesting_places"
441,7989631,73.8081436,18.6607437,Shani Mandir,"religion,hindu_temples,interesting_places"
442,7989630,73.808197,18.6607952,Lord Shiv's Murti,"religion,hindu_temples,interesting_places"
443,7977845,73.7709732,18.6465569,Tulja Bhavani Temple,"religion,hindu_temples,interesting_places"
444,7989627,73.8059845,18.662693,Swami Samarth Mandir,"religion,hindu_temples,interesting_places"
445,7989629,73.8053589,18.6631298,Vittal mandir,"religion,hindu_temples,interesting_places"
446,7989628,73.8051529,18.6630878,Vithal Rukmini Mandir,"religion,hindu_temples,interesting_places"
447,1879987,73.7982941,18.6611938,temple,"religion,other_temples,interesting_places"
448,4982506,73.7108078,18.5976238,Amphitheater,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
449,5686851,73.7665176,18.6538658,Shree Gajanan Maharaj Temple,"religion,hindu_temples,interesting_places"
450,1879534,73.7085648,18.5956593,Centre Fountain,"fountains,cultural,urban_environment,interesting_places"
451,5686850,73.7658768,18.6552925,Datta Mandir,"religion,other_temples,interesting_places"
452,5167804,73.7701874,18.6579456,Sri Krishna Temple,"religion,hindu_temples,interesting_places"
453,5102352,73.786911,18.6664486,Infant Jesus Church,"religion,other_temples,interesting_places"
454,1879965,73.7680817,18.6569901,Dakshinmukhi Maruti Mandir,"religion,hindu_temples,interesting_places"
455,1879536,73.7086868,18.5985012,Bajranj Bali Mandir,"religion,hindu_temples,interesting_places"
456,1880641,73.8967133,18.6771069,Gyaneshwar Maharaj,"religion,other_temples,interesting_places"
457,1880643,73.8567429,18.6816959,Kadjai Mata Mandir,"religion,hindu_temples,interesting_places"
458,5102351,73.7778549,18.6637306,Mata Amritanandamayi Math माता अमृतानंदमयी मठ,"religion,other_temples,interesting_places"
459,1879224,73.7688599,18.3773174,Sinhagad Valley,"view_points,other,interesting_places"
460,1879972,73.8159714,18.6856251,Datta Mandir,"religion,hindu_temples,interesting_places"
461,1880061,74.0174332,18.4437332,Ramdhara Temple,"religion,other_temples,interesting_places"
462,1879983,73.8120499,18.6880341,Ganapati mandir,"religion,hindu_temples,interesting_places"
463,4906168,73.757843,18.6700306,Durga Tekdi,"mountain_peaks,geological_formations,natural,interesting_places"
464,1879995,73.7880936,18.6856728,Classic frp works,"other,unclassified_objects,interesting_places,tourist_object"
465,5102353,73.7888565,18.6861477,Jyoti ba Mandir,"religion,other_temples,interesting_places"
466,5687001,74.0464478,18.5238342,Chintamani Ashtavinayak Mandir,"religion,hindu_temples,interesting_places"
467,1879221,73.7592163,18.3655643,Pune Gate,"view_points,other,interesting_places"
468,11830952,73.7552261,18.3651447,Sinhagad Fort,"fortifications,historic,interesting_places,castles"
469,6604083,73.7549896,18.3651867,Sinhagad,"mountain_peaks,geological_formations,natural,interesting_places"
470,7979617,74.0068588,18.4057331,Tukai Mata Mandir,"religion,hindu_temples,interesting_places"
471,9958482,73.7538147,18.3625622,Kalyan Gate,"view_points,other,interesting_places"
473,7982632,73.7993469,18.7115173,Shree Somnathgiri Baba Mandir,"religion,hindu_temples,interesting_places"
474,15099914,73.7298126,18.6833115,Gurdwara Sri Guru Singh Sabha Dehu Road,"religion,other_temples,interesting_places"
475,7982635,73.7873688,18.7161522,Tuljabhavani Temple,"religion,hindu_temples,interesting_places"
476,7978447,73.6428146,18.5723782,Kunjai Temple,"religion,hindu_temples,interesting_places"
477,7978451,73.9780502,18.3430805,Shri Bhairavnath Temple,"religion,hindu_temples,interesting_places"
478,7982633,73.9787445,18.343195,Maruti Temple,"religion,hindu_temples,interesting_places"
479,11211230,74.0493469,18.412014,Malhargad,"mountain_peaks,geological_formations,natural,interesting_places"
481,11828387,74.049736,18.4119225,Malhargad,"fortifications,historic,interesting_places,castles"
482,7982634,73.7652893,18.7190647,Tukaram Maharaj Mandir,"religion,hindu_temples,interesting_places"
486,5686875,74.050705,18.3924236,Laxmi Aai Mandir,"religion,hindu_temples,interesting_places"
487,16077098,73.7040558,18.6922512,Shelarwadi Caves,"interesting_places,natural,geological_formations,caves"
488,15609194,73.7040558,18.6922512,Ghorawadi Caves,"interesting_places,natural,geological_formations,caves"
489,5102381,73.8805084,18.7472191,Gurudawara Guru Nanak Darbar,"religion,other_temples,interesting_places"
491,15605364,74.059166,18.6455555,Battle of Koregaon,"battlefields,historic,historical_places,interesting_places"
492,7980742,74.0235138,18.3521919,om sai mitra mandal saisamrajya chowk saswad,"religion,hindu_temples,interesting_places"
499,5102378,73.8653641,18.7569714,"Bolhai mata mandir, chakan","religion,other_temples,interesting_places"
