,features__id,features__geometry__coordinates__001,features__geometry__coordinates__002,features__properties__name,features__properties__kinds
82,9958523,73.8502655,18.5123844,Hanuman Mandir,"religion,hindu_temples,interesting_places"
84,7982639,73.8465652,18.5172348,Ashtabhuja Mandir,"religion,hindu_temples,interesting_places"
85,7982650,73.867569,18.5195007,Untade Maruti Mandir,"religion,hindu_temples,interesting_places"
86,5102366,73.8673019,18.5177002,Succath Shelomo Synagogue,"religion,other_temples,interesting_places"
87,7979618,73.8467712,18.5158501,Mati Ganapati Mandir,"religion,hindu_temples,interesting_places"
88,7982644,73.8505554,18.5115852,Khunya Murlidhar Mandir,"religion,hindu_temples,interesting_places"
89,7082312,73.8475189,18.5141506,Limaye Natya-Chitra Mandir,"cultural,cinemas,theatres_and_entertainments,interesting_places"
91,1880362,73.8556595,18.5311165,Mini Auditorium COEP,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
93,14692378,73.8568497,18.5317001,Battle of Poona,"battlefields,historic,historical_places,interesting_places"
94,7045148,73.8452148,18.5236301,Mahatma Phule Vastu Sangrahalaya,"cultural,museums,interesting_places,other_museums"
95,1880263,73.8554535,18.5085812,Chinchechi Talim,"religion,hindu_temples,interesting_places"
96,7053605,73.8495102,18.5106659,Bharat Itihas Sanshodhak Mandal,"cultural,museums,interesting_places,other_museums"
97,4982509,73.8492432,18.5106449,Bharat Naatya Mandir,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
98,5686916,73.8456268,18.5136604,Garud Ganapati Mandir,"religion,hindu_temples,interesting_places"
99,7980743,73.8458557,18.5112228,Hatti Ganpati Mandir,"religion,hindu_temples,interesting_places"
100,1880370,73.8662949,18.5310249,English Electric Canberra,"other,unclassified_objects,interesting_places,historic_object"
101,7082313,73.8423386,18.5164509,R Deccan Multiplex,"cultural,cinemas,theatres_and_entertainments,interesting_places"
102,4982508,73.8488922,18.508234,Tilak Smarak Mandir,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
103,7982638,73.8427277,18.5145607,Khandujibaba Vitthal Mandir,"religion,hindu_temples,interesting_places"
104,1880192,73.845871,18.5099258,Navi Peth Vitthal Mandir,"religion,hindu_temples,interesting_places"
105,1880218,73.8435822,18.5125866,Vitthal Mandir,"religion,hindu_temples,interesting_places"
106,7082316,73.8464584,18.531601,Rahul Cineplex,"cultural,cinemas,theatres_and_entertainments,interesting_places"
107,11191182,73.8448029,18.5107555,Kusumbai Motichand Planetarium,"planetariums,cultural,museums,interesting_places"
109,5686932,73.8414459,18.5245399,Tukaram Paduka Mandir,"religion,hindu_temples,interesting_places"
110,4990800,73.8433304,18.5122128,Alka Talkies,"cultural,cinemas,theatres_and_entertainments,interesting_places"
111,1880239,73.8626328,18.5063744,Farog E Nabavi Masjid,"religion,other_temples,interesting_places"
112,7894317,73.8728714,18.5206051,St. Mathew's Marathi Church,"religion,churches,interesting_places,other_churches"
113,7356481,73.853569,18.5053539,Vasantdada Patil,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments"
114,7045154,73.8456268,18.5316372,Sawai Gandharva Smarak,"cultural,museums,interesting_places,other_museums"
115,1880330,73.841629,18.5268192,Jnaneshwar Paduka Mandir,"religion,hindu_temples,interesting_places"
116,11474381,73.8719177,18.5268345,BJ Medical College,"architecture,historic_architecture,interesting_places,other_buildings_and_structures"
117,1880160,73.8424606,18.5120583,Nanasaheb Peshwe Samadhi,"historic,monuments_and_memorials,interesting_places,monuments"
118,5102360,73.8624573,18.5053062,Makkah Masjid,"religion,other_temples,interesting_places"
119,5102367,73.8720627,18.527235,Station Masjid,"religion,other_temples,interesting_places"
120,5686919,73.8533554,18.5046177,Adambag Masjid,"religion,mosques,interesting_places"
121,4982514,73.8733521,18.5236454,Susie Sorabjee Auditorium,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
122,1880189,73.8426895,18.5112648,Visava Maruti Mandir,"religion,hindu_temples,interesting_places"
123,11633153,73.8484879,18.5061455,Sir Parshurambhau College,"architecture,historic_architecture,interesting_places,other_buildings_and_structures"
125,1880215,73.8409424,18.513052,Savarkar Memorial,"historic,monuments_and_memorials,interesting_places,monuments"
126,5102359,73.8638306,18.5050812,Mominpura Kabrastan Masjid,"religion,other_temples,interesting_places"
127,11381989,73.874588,18.5193558,Ohel David Synagogue,"religion,synagogues,interesting_places"
128,5686897,73.861084,18.5038929,Saint Teresa's Church,"religion,other_temples,interesting_places"
129,4982511,73.8386154,18.5233612,Amphitheatre,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
130,11202498,73.8385925,18.5241489,Fergussson College,"architecture,historic_architecture,interesting_places,other_buildings_and_structures"
131,1880187,73.841713,18.5098286,Thosar Paga,"cemeteries,historic,burial_places,interesting_places"
132,4982513,73.8758774,18.5198402,Nehru Memorial Hall,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
133,7082314,73.8504257,18.5029545,Nilayam,"cultural,cinemas,theatres_and_entertainments,interesting_places"
134,15379638,73.8758926,18.524147,Darshan Museum,"museums,cultural,interesting_places,other_museums"
135,11289895,73.8369217,18.5202618,Gokhale Institute of Politics and Economics,"architecture,historic_architecture,interesting_places,other_buildings_and_structures"
136,1880421,73.8744125,18.5288773,Pune Junction,"railway_stations,industrial_facilities,interesting_places"
137,5011412,73.8542023,18.5016193,Lokashahir Annabhau Sathe,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments"
